setNum;name_en;name_de;year;recommendedRetailPrice €
7962;Anakin's and Sebulba's Podracers;LEGO® Star Wars 7962 Anakin Skywalker and Sebulba's Podracers;2011;99.99
7964;Republic Frigate;LEGO® Star Wars 7964 Republic Frigate;2011;129.99
7965;Millennium Falcon;LEGO® Star Wars 7965 Millennium Falcon™;2011;149.99
7976;Ocean Speeder;LEGO® Atlantis 7976 Ocean Speeder;2011;4.99
7977;Seabed Strider;LEGO® Atlantis 7977 Unterwasserläufer;2011;9.99
7978;Angler Attack;LEGO® Atlantis 7978 Angriff des Seeteufels;2011;19.99
7984;Deep Sea Raider;LEGO® Atlantis 7984 Deep Sea Raider;2011;29.99
7985;City of Atlantis;LEGO® Atlantis 7985 Tempel von Atlantis;2011;69.99
8041;Race Truck;LEGO® Technic 8041 Race Truck;2010;49.99
8043;Motorized Excavator;LEGO® Technic 8043 Motorized Excavator;2010;169.99
8045;Mini Telehandler;LEGO® Technic 8045 Mini Telehandler;2010;9.99
8046;Helicopter;LEGO® Technic 8046 Hubschrauber;2010;16.99
8047;Compact Excavator;LEGO® Technic 8047 Compact Excavator;2010;22.99
8048;Buggy;LEGO® Technic 8048 Buggy;2010;32.99
8049;Tractor with Log Loader;LEGO® Technic 8049 Tractor with Log Loader;2010;59.99
8051;Motorbike;LEGO® Technic 8051 Motorbike;2010;42.99
8052;Container Truck;LEGO® Technic 8052 Container Truck;2010;69.99
8053;Mobile Crane;LEGO® Technic 8053 Mobile Crane;2010;99.99
8065;Mini Container Truck;LEGO® Technic 8065 Mini Container Truck;2011;9.99
8066;Off-Roader;LEGO® Technic 8066 Geländewagen;2011;14.99
8067;Mini Mobile Crane;LEGO® Technic 8067 Mini Mobile Crane;2011;19.99
8068;Rescue Helicopter;LEGO® Technic 8068 Rettungshubschrauber;2011;29.99
8069;Backhoe Loader;LEGO® Technic 8069 Backhoe Loader;2011;49.99
8070;Supercar;LEGO® Technic 8070 Super Car;2011;109.99
8071;Lift Truck;LEGO® Technic 8071 Bucket Truck;2011;39.99
8077;Atlantis Exploration HQ;LEGO® Atlantis 8077 Unterwasser- Hauptquartier;2010;49.99
8078;Portal of Atlantis;LEGO® Atlantis 8078 Große Haifestung;2010;99.99
8081;Extreme Cruiser;LEGO® Technic 8081 Extreme Cruiser;2011;49.99
